id,EAP,HPL,MWS
id02310,0.011697409674525261,0.003699790919199586,0.9846028089523315
id24541,0.991144061088562,0.003086356446146965,0.00576956570148468
id00134,0.02220499888062477,0.9717812538146973,0.006013745442032814
id27757,0.7556384801864624,0.18156883120536804,0.06279272586107254
id04081,0.9137815833091736,0.02480028010904789,0.061418142169713974
id27337,0.9473590850830078,0.03472945839166641,0.0179113931953907
id24265,0.8650293946266174,0.11786270886659622,0.017107827588915825
id25917,0.07845275104045868,0.05091822147369385,0.8706290125846863
id04951,0.9971480965614319,0.0016993049066513777,0.00115254579577595
id14549,0.928909957408905,0.02747650071978569,0.04361357167363167
id22505,0.015226473100483418,0.06321109086275101,0.9215624332427979
id24002,0.001041802461259067,0.9981928467750549,0.000765362405218184
id18982,0.013250970281660557,0.9666732549667358,0.02007574588060379
id15181,0.030207186937332153,0.9583742618560791,0.011418525129556656
id21888,0.8281446695327759,0.09175405651330948,0.08010127395391464
id12035,0.012420508079230785,0.0011841625673696399,0.9863953590393066
id17991,0.4095202088356018,0.015189487487077713,0.5752902626991272
id10707,0.9985383749008179,0.0009606237872503698,0.0005010421155020595
id07101,0.1531253308057785,0.0965324118733406,0.7503422498703003
id00345,0.1069774180650711,0.8733748197555542,0.019647737964987755
id05912,0.9343898296356201,0.034255195409059525,0.03135494515299797
id13443,0.9506948590278625,0.03391733765602112,0.01538785919547081
id09248,0.2568072974681854,0.1156516745686531,0.6275410056114197
id17542,0.058493394404649734,0.9197718501091003,0.021734755486249924
id06995,0.19650128483772278,0.0013160092057660222,0.8021827340126038
id25159,0.7842353582382202,0.03711407631635666,0.1786506175994873
id25729,0.7810657620429993,0.19693997502326965,0.021994275972247124
id26949,0.9784930348396301,0.010921625420451164,0.010585309006273746
id27191,0.317335307598114,0.056968867778778076,0.6256958246231079
id07668,0.29954609274864197,0.0025904658250510693,0.6978634595870972
id02230,0.22255763411521912,0.0874427929520607,0.6899995803833008
id15553,0.9998216032981873,6.398924597306177e-05,0.00011447168799350038
id25688,0.0018424472073093057,0.9974578022956848,0.000699712720233947
id17545,0.9018622636795044,0.0534597672522068,0.044677939265966415
id13929,0.16577470302581787,0.6380853652954102,0.19613990187644958
id12880,0.16120079159736633,0.8012810945510864,0.03751809522509575
id19282,0.5955021977424622,0.026749245822429657,0.37774866819381714
id14690,0.012145210057497025,0.002790068741887808,0.985064685344696
id17975,0.044791679829359055,0.9371430277824402,0.018065258860588074
id08037,0.99400794506073,0.0034539583139121532,0.002538061700761318
id15412,0.13443997502326965,0.005491959862411022,0.8600680232048035
id25032,0.73454350233078,0.10224667191505432,0.16320978105068207
id27165,0.9872568845748901,0.006617933977395296,0.006125207524746656
id03327,0.7272731065750122,0.22164610028266907,0.05108080059289932
id18515,0.9775252938270569,0.008783911354839802,0.013690786436200142
id21003,0.21367685496807098,0.05735703557729721,0.7289661169052124
id23855,0.002187830163165927,0.9925004839897156,0.005311701446771622
id20724,0.7773305773735046,0.07432711869478226,0.1483423262834549
id13303,0.8198519349098206,0.11080773174762726,0.06934033334255219
id16521,0.005571688059717417,0.06617216020822525,0.9282561540603638
id20775,0.9990967512130737,0.0004305948386900127,0.00047277117846533656
id13029,0.9216800928115845,0.021946348249912262,0.05637352541089058
id14660,0.8601216077804565,0.07262171059846878,0.06725668907165527
id11028,0.004117436241358519,0.001125939772464335,0.9947566986083984
id14180,0.9853009581565857,0.006889860145747662,0.0078091551549732685
id25860,0.9970382452011108,0.0011731607373803854,0.0017886150162667036
id11910,0.4516160786151886,0.031099332496523857,0.5172845721244812
id08065,0.2185504287481308,0.05143187567591667,0.7300176620483398
id22674,0.0075639644637703896,0.005101848393678665,0.987334132194519
id25018,0.23777644336223602,0.033306825906038284,0.7289167046546936
id10892,0.0013206941075623035,0.997912585735321,0.0007667556637898088
id10217,0.013174745254218578,0.9852370619773865,0.0015881232684478164
id12996,0.5866822600364685,0.0827222466468811,0.33059558272361755
id18262,0.8979825377464294,0.047014474868774414,0.055003002285957336
id08606,0.0015370274195447564,0.9978297352790833,0.0006332038901746273
id17233,0.787486732006073,0.017895380035042763,0.19461789727210999
id00101,0.7201302647590637,0.13494518399238586,0.14492452144622803
id12225,0.8292906880378723,0.06956548243761063,0.1011437475681305
id01364,0.013512728735804558,0.9784291386604309,0.008058134466409683
